date,open,high,low,close,volume,hold,settle,symbol
2023-12-27,485.26,486.8,483.86,486.04,515,2913,485.72,AU2412
2023-12-28,486.96,488.9,486.44,487.32,684,3035,487.76,AU2412
2023-12-29,485.44,486.48,483.44,484.76,779,2993,484.82,AU2412
2024-01-02,484.28,487.0,484.26,486.76,459,3105,485.94,AU2412
2024-01-03,486.32,486.96,484.8,486.14,837,3288,486.14,AU2412
2024-01-04,483.96,484.5,481.62,484.1,936,3211,482.9,AU2412
2024-01-05,484.24,485.5,483.4,484.56,653,3287,484.56,AU2412
2024-01-08,484.0,486.64,482.6,483.88,1012,3270,484.44,AU2412
2024-01-09,482.26,484.32,481.38,483.5,706,3275,482.78,AU2412
2024-01-10,483.54,484.56,482.0,482.16,461,3280,483.42,AU2412
2024-01-11,483.16,483.76,481.88,482.5,404,3287,482.66,AU2412
2024-01-12,482.5,484.14,480.0,482.8,871,3448,482.48,AU2412
2024-01-15,485.0,486.62,484.4,485.8,1438,3752,485.66,AU2412
2024-01-16,485.62,486.06,485.18,485.54,268,3779,485.56,AU2412
2024-01-17,484.22,485.28,481.6,481.8,837,3698,483.3,AU2412
2024-01-18,482.92,483.2,480.18,480.6,678,3728,481.26,AU2412
2024-01-19,481.22,482.8,480.56,482.44,335,3821,482.04,AU2412
2024-01-22,483.7,484.36,481.0,481.16,651,3873,482.9,AU2412
2024-01-23,482.48,482.48,479.82,481.52,403,3953,481.04,AU2412
2024-01-24,480.74,481.12,480.2,481.06,261,3941,480.66,AU2412
2024-01-25,481.36,481.52,478.64,479.28,663,3939,479.62,AU2412
2024-01-26,478.98,481.3,478.82,481.16,358,4009,480.3,AU2412
2024-01-29,481.04,482.84,480.44,482.7,821,4142,482.0,AU2412
2024-01-30,482.78,483.82,481.8,483.44,738,4172,483.02,AU2412
2024-01-31,483.8,485.08,483.12,484.1,876,4232,484.14,AU2412
2024-02-01,484.68,486.12,484.14,485.18,1272,4323,485.18,AU2412
2024-02-02,483.9,487.1,483.24,487.1,1395,4540,485.54,AU2412
2024-02-05,487.08,487.48,483.46,484.2,1936,4438,484.92,AU2412
2024-02-06,482.76,484.02,482.14,483.1,1078,4360,482.9,AU2412
2024-02-07,482.96,485.1,482.92,484.5,988,4409,484.34,AU2412
2024-02-08,485.04,486.58,484.7,486.0,1019,4588,485.92,AU2412
2024-02-19,484.1,484.12,482.36,483.38,717,4505,483.32,AU2412
2024-02-20,483.3,483.84,482.9,483.18,535,4477,483.32,AU2412
2024-02-21,484.12,484.74,483.14,483.32,980,4692,483.86,AU2412
2024-02-22,484.0,484.0,482.38,482.94,778,4896,482.98,AU2412
2024-02-23,482.94,483.42,481.6,482.12,1715,5122,482.66,AU2412
2024-02-26,482.98,484.56,482.66,484.26,1198,5168,483.7,AU2412
2024-02-27,484.2,484.58,483.44,484.36,1307,5580,484.14,AU2412
2024-02-28,485.18,485.2,484.06,484.2,661,5603,484.56,AU2412
2024-02-29,484.18,485.04,484.08,484.74,625,5663,484.62,AU2412
2024-03-01,483.94,486.7,483.8,486.5,2020,6151,485.9,AU2412
2024-03-04,487.5,493.42,486.08,492.88,4334,7252,490.22,AU2412
2024-03-05,492.6,500.08,492.56,499.92,16178,11492,498.84,AU2412
2024-03-06,501.3,504.98,500.78,503.24,13167,14747,502.3,AU2412
